,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,7765,39.45888137817383,693601.7860984802
1,2019-01-31,BUY,GOOGL,7306,54.70120620727539,293954.7735481262
2,2019-01-31,BUY,TSLA,14277,20.584667205810547,67.47985076904297
3,2019-02-28,SELL,AAPL,7765,41.935035705566406,325693.0321044922
4,2019-02-28,BUY,GOOGL,921,55.94170379638672,274170.72290802
5,2019-02-28,BUY,TSLA,13065,20.982667922973633,32.166494369506836
6,2019-03-06,SELL,TSLA,27342,18.43600082397461,504109.3010234833
7,2019-03-29,SELL,GOOGL,2848,58.40178680419922,670437.5898418427
8,2019-03-29,BUY,AAPL,967,45.256378173828125,626674.6721477509
9,2019-03-29,BUY,TSLA,33738,18.57466697692871,2.557680130004883
10,2019-04-26,SELL,TSLA,33738,16.5086669921875,556971.9646625519
11,2019-04-30,SELL,AAPL,966,49.06690979003906,604370.5995197296
12,2019-04-30,SELL,GOOGL,398,64.5759048461914,630071.8096485138
13,2019-04-30,BUY,TSLA,39139,16.097999572753906,12.204370498657227
14,2019-05-18,SELL,TSLA,39139,14.0686674118042,550645.7782011032
15,2019-05-31,SELL,GOOGL,1733,55.867977142333984,647464.982588768
16,2019-05-31,BUY,AAPL,3661,42.9222526550293,490326.61561870575
17,2019-05-31,BUY,TSLA,39076,12.54800033569336,0.9545011520385742
18,2019-06-28,SELL,GOOGL,3247,53.63706588745117,174160.507437706
19,2019-06-28,SELL,TSLA,636,14.855999946594238,183608.92340373993
20,2019-06-28,BUY,AAPL,3818,48.08351516723633,26.062495231628418
21,2019-07-31,SELL,AAPL,290,50.25971984863281,14601.381251335144
22,2019-07-31,SELL,GOOGL,1,61.178226470947266,14662.559477806091
23,2019-07-31,BUY,TSLA,907,16.150667190551758,13.904335975646973
24,2019-08-16,SELL,TSLA,39347,14.37600040435791,565666.3922462463
25,2019-08-30,SELL,AAPL,620,50.506256103515625,596980.271030426
26,2019-08-30,BUY,TSLA,40389,14.780667304992676,3.8992490768432617
27,2019-09-30,SELL,AAPL,423,52.87678527832031,22370.779421806335
28,2019-09-30,BUY,TSLA,1385,16.142000198364258,14.109147071838379
29,2019-10-31,SELL,AAPL,3108,58.782596588134766,182710.4193429947
30,2019-10-31,SELL,TSLA,3754,21.000667572021484,261546.92540836334
31,2019-10-31,BUY,GOOGL,4164,62.80731964111328,17.24642276763916
32,2019-11-29,SELL,AAPL,3039,64.91654205322266,197298.6177225113
33,2019-11-29,SELL,TSLA,2037,22.086000442504883,242287.80062389374
34,2019-11-29,BUY,GOOGL,3706,65.3695297241211,28.323466300964355
35,2019-12-31,SELL,TSLA,2304,27.64666748046875,63726.245341300964
36,2019-12-31,BUY,GOOGL,954,66.74354553222656,52.90290355682373
37,2019-01-03,SELL,GOOGL,8824,52.54352951049805,463697.0073041916
